scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
chr10_1107,1,5000,2500,5000,716,23.0,19.0,0.0952,0.0193,0.012
chr10_1108,1,5000,2025,4050,586,18.0,5.0,0.5652,0.0751,0.0506
chr10_110,1,5000,2217,4434,369,6.0,9.0,-0.2,-0.0291,-0.0186
chr10_1111,1,5000,2135,4269,405,9.0,11.0,-0.1,-0.0241,-0.0148
chr10_1116,1,5000,2500,5000,370,5.0,8.0,-0.2308,-0.0275,-0.0199
chr10_1118,1,5000,1617,3234,313,8.0,9.0,-0.0588,-0.0108,-0.0062
chr10_1119,1,5000,2354,4707,445,13.0,12.0,0.04,0.0075,0.0048
chr10_111,1,5000,2209,4417,322,8.0,3.0,0.4545,0.0625,0.04
chr10_1120,1,5000,1362,2723,308,9.0,7.0,0.125,0.0253,0.0142
chr10_1121,1,5000,2139,4277,611,22.0,24.0,-0.0435,-0.012,-0.0077
chr10_1122,1,5000,2122,4243,396,15.0,10.0,0.2,0.0442,0.0272
chr10_1123,1,5000,2178,4356,430,5.0,5.0,0.0,0.0,0.0
chr10_112,1,5000,1364,2727,290,4.0,9.0,-0.3846,-0.051,-0.0327
chr10_1130,1,5000,2500,5000,345,14.0,4.0,0.5556,0.099,0.0685
chr10_1133,1,5000,2260,4519,442,18.0,10.0,0.2857,0.0672,0.0419
chr10_1140,1,5000,984,1967,194,6.0,1.0,0.7143,0.0962,0.0549
chr10_1145,1,5000,2376,4752,275,2.0,15.0,-0.7647,-0.1413,-0.0903
chr10_1149,1,5000,1642,3283,443,9.0,12.0,-0.1429,-0.028,-0.0151
chr10_1151,1,5000,2004,4007,617,24.0,9.0,0.4545,0.0968,0.0636
chr10_1159,1,5000,2163,4326,538,15.0,10.0,0.2,0.0342,0.0201
chr10_1163,1,5000,2500,5000,426,11.0,16.0,-0.1852,-0.0442,-0.0289
chr10_1167,1,5000,2232,4464,340,10.0,17.0,-0.2593,-0.0753,-0.0458
chr10_1170,1,5000,2500,5000,578,16.0,8.0,0.3333,0.0552,0.0338
chr10_1174,1,5000,1391,2782,215,4.0,1.0,0.6,0.0588,0.0353
chr10_1175,1,5000,2276,4552,425,6.0,7.0,-0.0769,-0.0089,-0.0061
chr10_1176,1,5000,2376,4751,392,15.0,4.0,0.5789,0.1,0.0696
chr10_1177,1,5000,2348,4696,495,10.0,10.0,0.0,0.0,0.0
chr10_117,1,5000,2376,4751,526,12.0,4.0,0.5,0.0491,0.0354
chr10_1181,1,5000,2231,4461,560,13.0,14.0,-0.037,-0.006,-0.0038
chr10_1182,1,5000,2300,4599,686,12.0,12.0,0.0,0.0,0.0
chr10_1183,1,5000,2205,4409,559,10.0,10.0,0.0,0.0,0.0
chr10_1184,1,5000,2384,4767,578,14.0,13.0,0.037,0.006,0.0038
chr10_1188,1,5000,2249,4497,475,11.0,8.0,0.1579,0.025,0.0163
chr10_1189,1,5000,2068,4136,410,11.0,13.0,-0.0833,-0.0179,-0.0107
chr10_118,1,5000,2359,4718,435,6.0,7.0,-0.0769,-0.0085,-0.0057
chr10_1195,1,5000,2217,4433,419,10.0,11.0,-0.0476,-0.0089,-0.006
chr10_1197,1,5000,2500,5000,593,13.0,6.0,0.3684,0.0464,0.032
chr10_1198,1,5000,2366,4731,475,15.0,9.0,0.25,0.0496,0.0302
chr10_119,1,5000,2365,4729,414,6.0,7.0,-0.0769,-0.0076,-0.0051
chr10_1200,1,5000,2500,5000,362,21.0,6.0,0.5556,0.1596,0.0888
chr10_1201,1,5000,2500,5000,475,19.0,8.0,0.4074,0.0769,0.0478
chr10_1204,1,5000,2320,4640,438,10.0,4.0,0.4286,0.0455,0.0305
chr10_1205,1,5000,2500,5000,468,8.0,7.0,0.0667,0.0078,0.0051
chr10_1206,1,5000,2377,4753,410,9.0,11.0,-0.1,-0.0174,-0.0116
chr10_1209,1,5000,2500,5000,454,15.0,8.0,0.3043,0.0551,0.0333
chr10_120,1,5000,2138,4275,665,17.0,12.0,0.1724,0.0246,0.0158
chr10_1213,1,5000,2298,4595,436,4.0,7.0,-0.2727,-0.0222,-0.0155
chr10_1216,1,5000,2404,4808,385,6.0,10.0,-0.25,-0.0348,-0.0231
chr10_1218,1,5000,2354,4707,462,14.0,7.0,0.3333,0.0473,0.0314
chr10_1219,1,5000,2500,5000,537,19.0,14.0,0.1515,0.0284,0.0178
chr10_1220,1,5000,2500,5000,350,5.0,8.0,-0.2308,-0.0288,-0.0196
chr10_1223,1,5000,1377,2754,304,6.0,5.0,0.0909,0.012,0.0078
chr10_1224,1,5000,1887,3774,578,9.0,10.0,-0.0526,-0.0059,-0.0038
chr10_1225,1,5000,2287,4573,523,7.0,8.0,-0.0667,-0.007,-0.0048
chr10_122,1,5000,585,1170,143,2.0,2.0,0.0,0.0,0.0
chr10_1233,1,5000,2164,4327,541,10.0,11.0,-0.0476,-0.0066,-0.0043
chr10_1234,1,5000,1953,3905,502,18.0,9.0,0.3333,0.072,0.0425
chr10_1236,1,5000,507,1014,172,3.0,1.0,0.5,0.0465,0.0294
chr10_1238,1,5000,2005,4009,666,35.0,13.0,0.4583,0.1128,0.0681
chr10_1243,1,5000,2438,4875,433,9.0,4.0,0.3846,0.04,0.0254
chr10_125,1,5000,1087,2173,176,5.0,7.0,-0.1667,-0.0364,-0.0235
chr10_1261,1,5000,2457,4914,504,17.0,11.0,0.2143,0.042,0.0256
chr10_1262,1,5000,2364,4727,534,13.0,12.0,0.04,0.0057,0.0037
chr10_1263,1,5000,2433,4866,574,21.0,12.0,0.2727,0.0476,0.032
chr10_1269,1,5000,1236,2471,231,0.0,5.0,-1.0,-0.0794,-0.0549
chr10_126,1,5000,2328,4655,180,1.0,4.0,-0.6,-0.0638,-0.0484
chr10_1270,1,5000,2135,4270,362,8.0,4.0,0.3333,0.0435,0.0278
chr10_1275,1,5000,2224,4448,431,15.0,10.0,0.2,0.0417,0.0279
chr10_1278,1,5000,553,1105,47,1.0,2.0,-0.3333,-0.0625,-0.0455
chr10_1284,1,5000,2104,4208,449,19.0,12.0,0.2258,0.0493,0.035
chr10_1285,1,5000,2156,4312,497,15.0,6.0,0.4286,0.0621,0.0441
chr10_1286,1,5000,2238,4476,441,7.0,17.0,-0.4167,-0.0671,-0.0474
chr10_1288,1,5000,2240,4480,347,10.0,8.0,0.1111,0.0164,0.0116
chr10_128,1,5000,2379,4758,540,6.0,2.0,0.5,0.0258,0.0198
chr10_1293,1,5000,2350,4699,494,19.0,6.0,0.52,0.0909,0.058
chr10_129,1,5000,2269,4537,556,6.0,5.0,0.0909,0.006,0.0041
chr10_1304,1,5000,1949,3897,408,5.0,10.0,-0.3333,-0.0355,-0.0258
chr10_1306,1,5000,2500,5000,400,16.0,8.0,0.3333,0.0769,0.0468
chr10_1313,1,5000,2019,4038,338,13.0,6.0,0.3684,0.0854,0.0519
chr10_1314,1,5000,2500,5000,454,11.0,7.0,0.2222,0.029,0.0191
chr10_1316,1,5000,2364,4728,555,21.0,4.0,0.68,0.1104,0.0642
chr10_1318,1,5000,1675,3349,353,19.0,9.0,0.3571,0.098,0.0613
chr10_131,1,5000,2135,4269,338,4.0,2.0,0.3333,0.0206,0.0138
chr10_1320,1,5000,1710,3420,398,13.0,7.0,0.3,0.0484,0.0287
chr10_1322,1,5000,2140,4279,351,19.0,5.0,0.5833,0.1667,0.1022
chr10_1325,1,5000,1996,3991,286,8.0,6.0,0.1429,0.029,0.0194
chr10_1328,1,5000,2235,4470,383,20.0,7.0,0.4815,0.134,0.0756
chr10_132,1,5000,2326,4651,335,4.0,3.0,0.1429,0.0102,0.0072
chr10_1334,1,5000,2378,4756,403,25.0,9.0,0.4706,0.1468,0.0851
chr10_1339,1,5000,1877,3754,422,18.0,8.0,0.3846,0.0746,0.0485
chr10_133,1,5000,2178,4356,518,7.0,15.0,-0.3636,-0.0597,-0.0365
chr10_1341,1,5000,2260,4519,582,25.0,13.0,0.3158,0.071,0.0446
chr10_1349,1,5000,2500,5000,488,26.0,6.0,0.625,0.16,0.1015
chr10_1350,1,5000,2368,4736,481,27.0,6.0,0.6364,0.2121,0.1094
chr10_1351,1,5000,2230,4460,426,18.0,9.0,0.3333,0.0732,0.0439
chr10_1353,1,5000,2284,4567,443,20.0,8.0,0.4286,0.1101,0.0642
chr10_1354,1,5000,2329,4658,420,19.0,9.0,0.3571,0.0926,0.0535
chr10_1357,1,5000,2114,4227,384,9.0,10.0,-0.0526,-0.0093,-0.0058
chr10_1362,1,5000,2123,4245,376,13.0,9.0,0.1818,0.0374,0.0221
chr10_1363,1,5000,2234,4467,521,20.0,15.0,0.1429,0.037,0.023
chr10_1365,1,5000,2336,4672,517,29.0,14.0,0.3488,0.0987,0.0625
chr10_1372,1,5000,1661,3321,239,7.0,4.0,0.2727,0.0476,0.03
chr10_1374,1,5000,2403,4805,587,18.0,12.0,0.2,0.0287,0.0205
chr10_1381,1,5000,2233,4465,377,18.0,6.0,0.5,0.1165,0.0774
chr10_1384,1,5000,2054,4107,571,15.0,11.0,0.1538,0.0255,0.0165
chr10_1386,1,5000,2117,4233,559,35.0,7.0,0.6667,0.1892,0.1167
chr10_138,1,5000,2067,4133,535,10.0,8.0,0.1111,0.0093,0.0068
chr10_1392,1,5000,2500,5000,426,18.0,8.0,0.3846,0.0962,0.0595
chr10_1393,1,5000,2500,5000,523,31.0,9.0,0.55,0.1719,0.1053
chr10_1397,1,5000,2085,4170,584,14.0,12.0,0.0769,0.0109,0.007
chr10_139,1,5000,2411,4822,570,16.0,12.0,0.1429,0.0225,0.0145
chr10_1400,1,5000,2500,5000,559,21.0,14.0,0.2,0.0526,0.03
chr10_1404,1,5000,2199,4397,286,8.0,2.0,0.6,0.0659,0.0441
chr10_1409,1,5000,2031,4061,436,27.0,5.0,0.6875,0.1982,0.1272
chr10_1412,1,5000,2304,4607,533,10.0,13.0,-0.1304,-0.0179,-0.0115
chr10_1414,1,5000,2222,4443,706,16.0,12.0,0.1429,0.0169,0.0113
chr10_1425,1,5000,2377,4754,473,12.0,6.0,0.3333,0.0462,0.0288
chr10_1428,1,5000,2392,4784,355,16.0,7.0,0.3913,0.0947,0.0573
chr10_1432,1,5000,2369,4738,380,9.0,4.0,0.3846,0.0485,0.0355
chr10_1433,1,5000,1777,3553,404,9.0,12.0,-0.1429,-0.0275,-0.0155
chr10_1434,1,5000,2343,4686,468,13.0,11.0,0.0833,0.0138,0.0088
chr10_1435,1,5000,2213,4425,373,7.0,10.0,-0.1765,-0.0219,-0.0136
chr10_1437,1,5000,2500,5000,584,8.0,22.0,-0.4667,-0.1,-0.0562
chr10_1439,1,5000,1947,3894,247,5.0,5.0,0.0,0.0,0.0
chr10_1444,1,5000,2252,4504,378,11.0,5.0,0.375,0.0645,0.0366
chr10_1450,1,5000,1401,2801,349,10.0,8.0,0.1111,0.0147,0.0101
chr10_1455,1,5000,1832,3663,395,3.0,8.0,-0.4545,-0.0602,-0.0298
chr10_1458,1,5000,2157,4314,453,9.0,12.0,-0.1429,-0.0222,-0.0148
chr10_1461,1,5000,2041,4081,450,21.0,3.0,0.75,0.1417,0.0914
chr10_1465,1,5000,1920,3839,326,10.0,4.0,0.4286,0.0789,0.0469
chr10_1471,1,5000,2296,4592,322,10.0,7.0,0.1765,0.0319,0.0204
chr10_1475,1,5000,2321,4641,575,16.0,12.0,0.1429,0.028,0.018
chr10_1476,1,5000,2069,4138,452,14.0,7.0,0.3333,0.0483,0.0306
chr10_147,1,5000,2308,4615,431,17.0,5.0,0.5455,0.08,0.0569
chr10_1482,1,5000,1897,3794,342,15.0,9.0,0.25,0.0522,0.0339
chr10_1484,1,5000,2183,4365,280,17.0,5.0,0.5455,0.1875,0.1017
chr10_1488,1,5000,2084,4167,359,7.0,5.0,0.1667,0.0215,0.0147
chr10_1489,1,5000,2248,4496,377,6.0,10.0,-0.25,-0.0336,-0.0247
chr10_1490,1,5000,2500,5000,269,4.0,4.0,0.0,0.0,0.0
chr10_1491,1,5000,1980,3960,329,7.0,3.0,0.4,0.0471,0.0354
chr10_1492,1,5000,1708,3416,164,2.0,2.0,0.0,0.0,0.0
chr10_1493,1,5000,2088,4176,286,3.0,1.0,0.5,0.0256,0.0174
chr10_1494,1,5000,2500,5000,417,17.0,8.0,0.36,0.0732,0.0455
chr10_1496,1,5000,2260,4520,461,16.0,4.0,0.6,0.0923,0.0622
chr10_1498,1,5000,2500,5000,485,18.0,6.0,0.5,0.096,0.0588
chr10_1499,1,5000,2385,4769,481,11.0,8.0,0.1579,0.0203,0.0124
chr10_1500,1,5000,1975,3950,277,1.0,6.0,-0.7143,-0.0633,-0.0397
chr10_1501,1,5000,2500,5000,483,14.0,7.0,0.3333,0.0417,0.0295
chr10_1502,1,5000,2131,4262,321,7.0,7.0,0.0,0.0,0.0
chr10_1504,1,5000,2278,4556,402,4.0,6.0,-0.2,-0.0165,-0.0124
chr10_1505,1,5000,2344,4687,563,5.0,6.0,-0.0909,-0.0065,-0.0046
chr10_1506,1,5000,1919,3838,343,6.0,4.0,0.2,0.0241,0.0163
chr10_1508,1,5000,1689,3378,205,1.0,2.0,-0.3333,-0.0152,-0.0108
chr10_1511,1,5000,1881,3762,268,8.0,3.0,0.4545,0.0641,0.041
chr10_1512,1,5000,2321,4641,424,9.0,1.0,0.8,0.064,0.0437
chr10_1515,1,5000,2060,4119,183,2.0,4.0,-0.3333,-0.0417,-0.0278
chr10_1516,1,5000,2342,4684,250,4.0,3.0,0.1429,0.0133,0.0078
chr10_1517,1,5000,2371,4742,348,4.0,4.0,0.0,0.0,0.0
chr10_1519,1,5000,2153,4306,376,5.0,4.0,0.1111,0.0106,0.0068
chr10_151,1,5000,2185,4370,439,8.0,13.0,-0.2381,-0.0394,-0.0267
chr10_1521,1,5000,2219,4438,445,4.0,8.0,-0.3333,-0.0263,-0.0171
chr10_1523,1,5000,1889,3778,189,2.0,5.0,-0.4286,-0.0588,-0.0357
chr10_1524,1,5000,2394,4787,477,11.0,12.0,-0.0435,-0.0069,-0.004
chr10_1525,1,5000,1956,3911,412,12.0,8.0,0.2,0.0308,0.0207
chr10_1526,1,5000,2357,4713,313,4.0,1.0,0.6,0.0345,0.0263
chr10_1527,1,5000,759,1517,143,2.0,0.0,1.0,0.0465,0.037
chr10_1529,1,5000,2289,4577,433,6.0,5.0,0.0909,0.008,0.005
chr10_1531,1,5000,2301,4602,401,7.0,7.0,0.0,0.0,0.0
chr10_1532,1,5000,1997,3993,336,4.0,7.0,-0.2727,-0.0297,-0.0194
chr10_1534,1,5000,1345,2689,140,0.0,2.0,-1.0,-0.0385,-0.027
chr10_1536,1,5000,2366,4731,371,12.0,3.0,0.6,0.0796,0.0529
chr10_1547,1,5000,2353,4706,475,17.0,8.0,0.36,0.0652,0.0404
chr10_154,1,5000,2483,4966,694,33.0,10.0,0.5349,0.1217,0.0737
chr10_1550,1,5000,2500,5000,452,11.0,8.0,0.1579,0.028,0.0175
chr10_1551,1,5000,2093,4186,397,13.0,5.0,0.4444,0.0792,0.0473
chr10_1554,1,5000,2381,4762,614,15.0,16.0,-0.0323,-0.0054,-0.0035
chr10_1558,1,5000,2071,4142,368,8.0,0.0,1.0,0.0784,0.0548
chr10_1559,1,5000,2387,4774,433,10.0,3.0,0.5385,0.0569,0.038
chr10_155,1,5000,2369,4737,594,21.0,19.0,0.05,0.0124,0.0074
chr10_1561,1,5000,1478,2956,244,5.0,9.0,-0.2857,-0.0741,-0.0476
chr10_1566,1,5000,1952,3903,344,9.0,15.0,-0.25,-0.0571,-0.0364
chr10_1568,1,5000,2241,4482,629,16.0,24.0,-0.2,-0.0412,-0.0254
chr10_1569,1,5000,2371,4742,396,9.0,5.0,0.2857,0.037,0.0226
chr10_156,1,5000,2320,4639,589,11.0,7.0,0.2222,0.0282,0.0179
chr10_1570,1,5000,2496,4991,460,51.0,6.0,0.7895,0.3147,0.1829
chr10_1574,1,5000,2142,4283,363,9.0,6.0,0.2,0.0263,0.0159
chr10_1575,1,5000,1984,3967,468,13.0,6.0,0.3684,0.0493,0.0329
chr10_1576,1,5000,1424,2848,195,3.0,2.0,0.2,0.0172,0.013
chr10_1577,1,5000,2337,4673,400,8.0,9.0,-0.0588,-0.0093,-0.006
chr10_157,1,5000,2203,4406,556,19.0,14.0,0.1515,0.0273,0.0191
chr10_1584,1,5000,1442,2883,243,17.0,4.0,0.619,0.2131,0.1121
chr10_1586,1,5000,2500,5000,343,21.0,6.0,0.5556,0.1546,0.0962
chr10_1587,1,5000,2500,5000,317,26.0,4.0,0.7333,0.2529,0.1538
chr10_1588,1,5000,2185,4370,284,29.0,5.0,0.7059,0.3077,0.1727
chr10_1590,1,5000,2317,4634,403,23.0,10.0,0.3939,0.0992,0.0657
chr10_1596,1,5000,2134,4268,420,8.0,19.0,-0.4074,-0.0775,-0.05
chr10_1597,1,5000,2256,4511,460,26.0,4.0,0.7333,0.1507,0.0982
chr10_1598,1,5000,2250,4499,438,14.0,8.0,0.2727,0.0435,0.0279
chr10_1599,1,5000,2500,5000,423,20.0,6.0,0.5385,0.1346,0.0805
chr10_1601,1,5000,2500,5000,679,35.0,13.0,0.4583,0.1117,0.0719
chr10_1604,1,5000,2383,4765,399,23.0,12.0,0.3143,0.0932,0.0582
chr10_160,1,5000,2500,5000,546,20.0,18.0,0.0526,0.0152,0.0098
chr10_1612,1,5000,2376,4752,336,16.0,3.0,0.6842,0.125,0.0783
chr10_1614,1,5000,2082,4163,215,6.0,8.0,-0.1429,-0.0333,-0.0198
chr10_1617,1,5000,2500,5000,328,9.0,5.0,0.2857,0.0388,0.0248
chr10_1620,1,5000,2114,4228,355,15.0,2.0,0.7647,0.1413,0.0788
chr10_1622,1,5000,2397,4794,393,13.0,2.0,0.7333,0.088,0.0663
chr10_1623,1,5000,2431,4862,238,11.0,4.0,0.4667,0.1207,0.0787
chr10_1626,1,5000,2336,4671,464,22.0,8.0,0.4667,0.1102,0.0642
chr10_1629,1,5000,2174,4348,460,3.0,0.0,1.0,0.0222,0.0149
chr10_1630,1,5000,1575,3149,356,6.0,10.0,-0.25,-0.044,-0.025
chr10_1631,1,5000,2328,4656,526,20.0,11.0,0.2903,0.0511,0.035
chr10_1632,1,5000,2378,4756,408,11.0,8.0,0.1579,0.0261,0.0164
chr10_1636,1,5000,1806,3611,258,12.0,6.0,0.3333,0.0882,0.06
chr10_1638,1,5000,1588,3176,353,9.0,5.0,0.2857,0.044,0.0292
chr10_1639,1,5000,2372,4743,379,11.0,8.0,0.1579,0.0219,0.0138
chr10_1640,1,5000,2105,4210,406,6.0,6.0,0.0,0.0,0.0
chr10_1643,1,5000,2232,4463,546,12.0,10.0,0.0909,0.0112,0.0072
chr10_1644,1,5000,2371,4741,490,6.0,8.0,-0.1429,-0.0171,-0.0114
chr10_1645,1,5000,2026,4051,374,6.0,5.0,0.0909,0.0085,0.0054
chr10_1646,1,5000,2386,4772,344,12.0,11.0,0.0435,0.0097,0.0065
chr10_1650,1,5000,2251,4501,448,17.0,6.0,0.4783,0.1078,0.0625
chr10_1651,1,5000,2500,5000,566,23.0,11.0,0.3529,0.0678,0.0436
chr10_1656,1,5000,2162,4323,295,16.0,4.0,0.6,0.1667,0.1043
chr10_165,1,5000,2500,5000,402,14.0,11.0,0.12,0.027,0.0161
chr10_1660,1,5000,2500,5000,374,7.0,10.0,-0.1765,-0.0263,-0.0167
chr10_1661,1,5000,2500,5000,478,8.0,10.0,-0.1111,-0.0143,-0.0091
chr10_1662,1,5000,2427,4854,457,7.0,13.0,-0.3,-0.0441,-0.0284
chr10_1665,1,5000,2340,4679,444,23.0,15.0,0.2105,0.0755,0.043
chr10_1672,1,5000,2108,4216,289,13.0,7.0,0.3,0.069,0.0411
chr10_1673,1,5000,2026,4051,509,34.0,4.0,0.7895,0.2174,0.1382
chr10_1674,1,5000,2336,4671,525,25.0,8.0,0.5152,0.1,0.0646
chr10_1678,1,5000,847,1694,144,9.0,0.0,1.0,0.2647,0.1667
chr10_1682,1,5000,2500,5000,587,20.0,16.0,0.1111,0.0207,0.0148
chr10_1683,1,5000,1755,3510,318,6.0,7.0,-0.0769,-0.0116,-0.0071
chr10_1684,1,5000,2500,5000,313,9.0,5.0,0.2857,0.0396,0.0267
chr10_1685,1,5000,2322,4644,351,12.0,5.0,0.4118,0.0565,0.0363
chr10_168,1,5000,2500,5000,612,7.0,9.0,-0.125,-0.0117,-0.0082
chr10_1694,1,5000,2500,5000,451,30.0,11.0,0.4634,0.1545,0.088
chr10_1698,1,5000,2233,4466,370,21.0,6.0,0.5556,0.1596,0.0926
chr10_1699,1,5000,1717,3434,278,11.0,1.0,0.8333,0.1282,0.0893
chr10_1709,1,5000,1752,3504,323,6.0,11.0,-0.2941,-0.0521,-0.0291
chr10_1710,1,5000,2200,4400,532,22.0,6.0,0.5714,0.0976,0.0637
chr10_1714,1,5000,2010,4019,471,7.0,11.0,-0.2222,-0.022,-0.0157
chr10_1718,1,5000,2500,5000,452,5.0,2.0,0.4286,0.0236,0.0189
chr10_1719,1,5000,2500,5000,319,2.0,4.0,-0.3333,-0.0233,-0.0152
chr10_171,1,5000,2251,4501,427,10.0,7.0,0.1765,0.0244,0.0168
chr10_1720,1,5000,2500,5000,365,4.0,4.0,0.0,0.0,0.0
chr10_1721,1,5000,2500,5000,527,12.0,11.0,0.0435,0.0081,0.0051
chr10_1722,1,5000,2500,5000,532,21.0,10.0,0.3548,0.0924,0.0403
chr10_1724,1,5000,2273,4545,520,14.0,18.0,-0.125,-0.024,-0.0146
chr10_1726,1,5000,2216,4432,364,5.0,6.0,-0.0909,-0.0114,-0.0072
chr10_1728,1,5000,1602,3204,259,13.0,2.0,0.7333,0.1897,0.1019
chr10_1730,1,5000,2168,4335,546,28.0,7.0,0.6,0.1603,0.0955
chr10_1732,1,5000,2149,4298,378,9.0,10.0,-0.0526,-0.0078,-0.0055
chr10_1734,1,5000,943,1886,172,5.0,5.0,0.0,0.0,0.0
chr10_1742,1,5000,1683,3366,385,8.0,9.0,-0.0588,-0.0095,-0.0064
chr10_1746,1,5000,1630,3259,293,18.0,2.0,0.8,0.186,0.1231
chr10_174,1,5000,2500,5000,587,7.0,7.0,0.0,0.0,0.0
chr10_1753,1,5000,2500,5000,235,3.0,8.0,-0.4545,-0.0735,-0.0472
chr10_1755,1,5000,2500,5000,405,13.0,3.0,0.625,0.1282,0.0709
chr10_1756,1,5000,2252,4504,360,13.0,6.0,0.3684,0.0654,0.0429
chr10_1757,1,5000,2252,4503,375,14.0,7.0,0.3333,0.0729,0.0467
chr10_1759,1,5000,1134,2268,231,4.0,3.0,0.1429,0.0132,0.0094
chr10_1769,1,5000,2142,4283,388,24.0,6.0,0.6,0.1488,0.1017
chr10_1770,1,5000,2484,4967,401,15.0,9.0,0.25,0.0484,0.0309
chr10_1774,1,5000,947,1893,122,3.0,3.0,0.0,0.0,0.0
chr10_1776,1,5000,1374,2748,241,8.0,7.0,0.0667,0.0147,0.0095
chr10_1777,1,5000,2180,4360,301,12.0,5.0,0.4118,0.0642,0.0467
chr10_1780,1,5000,2092,4184,366,24.0,7.0,0.5484,0.1417,0.0914
chr10_1781,1,5000,2416,4831,558,12.0,15.0,-0.1111,-0.02,-0.0124
chr10_1783,1,5000,2500,5000,406,8.0,6.0,0.1429,0.0182,0.0111
chr10_1794,1,5000,2407,4813,536,22.0,10.0,0.375,0.0876,0.0536
chr10_1795,1,5000,2441,4881,467,16.0,8.0,0.3333,0.0576,0.0379
chr10_1798,1,5000,2500,5000,481,29.0,12.0,0.4146,0.1259,0.0766
chr10_1803,1,5000,1862,3723,409,10.0,6.0,0.25,0.032,0.0216
chr10_1804,1,5000,2045,4090,427,12.0,12.0,0.0,0.0,0.0
chr10_1806,1,5000,2094,4187,404,29.0,10.0,0.4872,0.1959,0.1027
chr10_1807,1,5000,2303,4605,520,26.0,7.0,0.5758,0.1429,0.0852
chr10_1808,1,5000,2500,5000,713,31.0,18.0,0.2653,0.0677,0.0421
chr10_1809,1,5000,2243,4485,340,24.0,4.0,0.7143,0.2105,0.1299
chr10_180,1,5000,2263,4525,399,10.0,6.0,0.25,0.0333,0.0223
chr10_1816,1,5000,1385,2769,312,12.0,6.0,0.3333,0.069,0.0417
chr10_1820,1,5000,2290,4580,510,19.0,12.0,0.2258,0.0464,0.0298
chr10_1821,1,5000,2500,5000,475,25.0,10.0,0.4286,0.1034,0.0682
chr10_1823,1,5000,2368,4736,529,17.0,10.0,0.2593,0.0461,0.0294
chr10_1829,1,5000,2500,5000,407,10.0,8.0,0.1111,0.0159,0.0108
chr10_182,1,5000,2247,4494,505,15.0,8.0,0.3043,0.0511,0.0345
chr10_1830,1,5000,2369,4738,570,11.0,9.0,0.1,0.0144,0.01
chr10_1832,1,5000,2494,4988,473,10.0,15.0,-0.2,-0.0325,-0.0224
chr10_1836,1,5000,2349,4697,374,5.0,4.0,0.1111,0.0084,0.0055
chr10_1838,1,5000,2376,4751,486,11.0,6.0,0.2941,0.0368,0.0253
chr10_1840,1,5000,2500,5000,486,28.0,10.0,0.4737,0.1667,0.0942
chr10_1847,1,5000,2399,4798,591,18.0,13.0,0.1613,0.0316,0.0188
chr10_1851,1,5000,2245,4489,573,19.0,3.0,0.7273,0.0958,0.0635
