#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
ASM15162v1	DF091656.1	NW_004581431.1	DF091656.1	GPS_001612323.1
ASM15162v1	DF091657.1	NW_004581432.1	DF091657.1	GPS_001612324.1
ASM15162v1	DF091658.1	NW_004581433.1	DF091658.1	GPS_001612325.1
ASM15162v1	DF091659.1	NW_004581434.1	DF091659.1	GPS_001612326.1
ASM15162v1	DF091660.1	NW_004581435.1	DF091660.1	GPS_001612327.1
ASM15162v1	DF091661.1	NW_004581436.1	DF091661.1	GPS_001612328.1
ASM15162v1	DF091662.1	NW_004581437.1	DF091662.1	GPS_001612329.1
ASM15162v1	DF091663.1	NW_004581438.1	DF091663.1	GPS_001612330.1
ASM15162v1	DF091664.1	NW_004581439.1	DF091664.1	GPS_001612331.1
ASM15162v1	DF091665.1	NW_004581440.1	DF091665.1	GPS_001612332.1
ASM15162v1	DF091666.1	NW_004581441.1	DF091666.1	GPS_001612333.1
ASM15162v1	DF091667.1	NW_004581442.1	DF091667.1	GPS_001612334.1
ASM15162v1	DF091668.1	NW_004581443.1	DF091668.1	GPS_001612335.1
ASM15162v1	DF091669.1	NW_004581444.1	DF091669.1	GPS_001612336.1
ASM15162v1	DF091670.1	NW_004581445.1	DF091670.1	GPS_001612337.1
ASM15162v1	DF091671.1	NW_004581446.1	DF091671.1	GPS_001612338.1
ASM15162v1	DF091672.1	NW_004581447.1	DF091672.1	GPS_001612339.1
ASM15162v1	DF091673.1	NW_004581448.1	DF091673.1	GPS_001612340.1
ASM15162v1	DF091674.1	NW_004581449.1	DF091674.1	GPS_001612341.1
ASM15162v1	DF091675.1	NW_004581450.1	DF091675.1	GPS_001612342.1
ASM15162v1	DF091676.1	NW_004581451.1	DF091676.1	GPS_001612343.1
ASM15162v1	DF091677.1	NW_004581452.1	DF091677.1	GPS_001612344.1
ASM15162v1	DF091678.1	NW_004581453.1	DF091678.1	GPS_001612345.1
ASM15162v1	DF091679.1	NW_004581454.1	DF091679.1	GPS_001612346.1
ASM15162v1	DF091680.1	NW_004581455.1	DF091680.1	GPS_001612347.1
ASM15162v1	DF091681.1	NW_004581456.1	DF091681.1	GPS_001612348.1
ASM15162v1	DF091682.1	NW_004581457.1	DF091682.1	GPS_001612349.1
ASM15162v1	DF091683.1	NW_004581458.1	DF091683.1	GPS_001612350.1
ASM15162v1	DF091684.1	NW_004581459.1	DF091684.1	GPS_001612351.1
ASM15162v1	DF091685.1	NW_004581460.1	DF091685.1	GPS_001612352.1
ASM15162v1	DF091686.1	NW_004581461.1	DF091686.1	GPS_001612353.1
ASM15162v1	DF091687.1	NW_004581462.1	DF091687.1	GPS_001612354.1
ASM15162v1	DF091688.1	NW_004581463.1	DF091688.1	GPS_001612355.1
ASM15162v1	DF091689.1	NW_004581464.1	DF091689.1	GPS_001612356.1
ASM15162v1	DF091690.1	NW_004581465.1	DF091690.1	GPS_001612357.1
ASM15162v1	DF091691.1	NW_004581466.1	DF091691.1	GPS_001612358.1
ASM15162v1	DF091692.1	NW_004581467.1	DF091692.1	GPS_001612359.1
ASM15162v1	DF091693.1	NW_004581468.1	DF091693.1	GPS_001612360.1
ASM15162v1	DF091694.1	NW_004581469.1	DF091694.1	GPS_001612361.1
ASM15162v1	DF091695.1	NW_004581470.1	DF091695.1	GPS_001612362.1
ASM15162v1	DF091696.1	NW_004581471.1	DF091696.1	GPS_001612363.1
ASM15162v1	DF091697.1	NW_004581472.1	DF091697.1	GPS_001612364.1
ASM15162v1	DF091698.1	NW_004581473.1	DF091698.1	GPS_001612365.1
ASM15162v1	DF091699.1	NW_004581474.1	DF091699.1	GPS_001612366.1
ASM15162v1	DF091700.1	NW_004581475.1	DF091700.1	GPS_001612367.1
ASM15162v1	DF091701.1	NW_004581476.1	DF091701.1	GPS_001612368.1
ASM15162v1	DF091702.1	NW_004581477.1	DF091702.1	GPS_001612369.1
ASM15162v1	DF091703.1	NW_004581478.1	DF091703.1	GPS_001612370.1
ASM15162v1	DF091704.1	NW_004581479.1	DF091704.1	GPS_001612371.1
ASM15162v1	DF091705.1	NW_004581480.1	DF091705.1	GPS_001612372.1
ASM15162v1	DF091706.1	NW_004581481.1	DF091706.1	GPS_001612373.1
ASM15162v1	DF091707.1	NW_004581482.1	DF091707.1	GPS_001612374.1
ASM15162v1	DF091708.1	NW_004581483.1	DF091708.1	GPS_001612375.1
ASM15162v1	DF091709.1	NW_004581484.1	DF091709.1	GPS_001612376.1
ASM15162v1	DF091710.1	NW_004581485.1	DF091710.1	GPS_001612377.1
ASM15162v1	DF091711.1	NW_004581486.1	DF091711.1	GPS_001612378.1
ASM15162v1	DF091712.1	NW_004581487.1	DF091712.1	GPS_001612379.1
ASM15162v1	DF091713.1	NW_004581488.1	DF091713.1	GPS_001612380.1
ASM15162v1	DF091714.1	NW_004581489.1	DF091714.1	GPS_001612381.1
ASM15162v1	DF091715.1	NW_004581490.1	DF091715.1	GPS_001612382.1
ASM15162v1	DF091716.1	NW_004581491.1	DF091716.1	GPS_001612383.1
ASM15162v1	DF091717.1	NW_004581492.1	DF091717.1	GPS_001612384.1
ASM15162v1	DF091718.1	NW_004581493.1	DF091718.1	GPS_001612385.1
ASM15162v1	DF091719.1	NW_004581494.1	DF091719.1	GPS_001612386.1
ASM15162v1	DF091720.1	NW_004581495.1	DF091720.1	GPS_001612387.1
ASM15162v1	DF091721.1	NW_004581496.1	DF091721.1	GPS_001612388.1
ASM15162v1	DF091722.1	NW_004581497.1	DF091722.1	GPS_001612389.1
ASM15162v1	DF091723.1	NW_004581498.1	DF091723.1	GPS_001612390.1
ASM15162v1	DF091724.1	NW_004581499.1	DF091724.1	GPS_001612391.1
ASM15162v1	DF091725.1	NW_004581500.1	DF091725.1	GPS_001612392.1
ASM15162v1	DF091726.1	NW_004581501.1	DF091726.1	GPS_001612393.1
ASM15162v1	DF091727.1	NW_004581502.1	DF091727.1	GPS_001612394.1
ASM15162v1	DF091728.1	NW_004581503.1	DF091728.1	GPS_001612395.1
ASM15162v1	DF091729.1	NW_004581504.1	DF091729.1	GPS_001612396.1
ASM15162v1	DF091730.1	NW_004581505.1	DF091730.1	GPS_001612397.1
ASM15162v1	DF091731.1	NW_004581506.1	DF091731.1	GPS_001612398.1
ASM15162v1	DF091732.1	NW_004581507.1	DF091732.1	GPS_001612399.1
ASM15162v1	DF091733.1	NW_004581508.1	DF091733.1	GPS_001612400.1
ASM15162v1	DF091734.1	NW_004581509.1	DF091734.1	GPS_001612401.1
ASM15162v1	DF091735.1	NW_004581510.1	DF091735.1	GPS_001612402.1
ASM15162v1	DF091736.1	NW_004581511.1	DF091736.1	GPS_001612403.1
ASM15162v1	DF091737.1	NW_004581512.1	DF091737.1	GPS_001612404.1
ASM15162v1	DF091738.1	NW_004581513.1	DF091738.1	GPS_001612405.1
ASM15162v1	DF091739.1	NW_004581514.1	DF091739.1	GPS_001612406.1
ASM15162v1	DF091740.1	NW_004581515.1	DF091740.1	GPS_001612407.1
ASM15162v1	DF091741.1	NW_004581516.1	DF091741.1	GPS_001612408.1
ASM15162v1	DF091742.1	NW_004581517.1	DF091742.1	GPS_001612409.1
ASM15162v1	DF091743.1	NW_004581518.1	DF091743.1	GPS_001612410.1
ASM15162v1	DF091744.1	NW_004581519.1	DF091744.1	GPS_001612411.1
ASM15162v1	DF091745.1	NW_004581520.1	DF091745.1	GPS_001612412.1
ASM15162v1	DF091746.1	NW_004581521.1	DF091746.1	GPS_001612413.1
ASM15162v1	DF091747.1	NW_004581522.1	DF091747.1	GPS_001612414.1
ASM15162v1	DF091748.1	NW_004581523.1	DF091748.1	GPS_001612415.1
ASM15162v1	DF091749.1	NW_004581524.1	DF091749.1	GPS_001612416.1
ASM15162v1	DF091750.1	NW_004581525.1	DF091750.1	GPS_001612417.1
ASM15162v1	DF091751.1	NW_004581526.1	DF091751.1	GPS_001612418.1
ASM15162v1	DF091752.1	NW_004581527.1	DF091752.1	GPS_001612419.1
ASM15162v1	DF091753.1	NW_004581528.1	DF091753.1	GPS_001612420.1
ASM15162v1	DF091754.1	NW_004581529.1	DF091754.1	GPS_001612421.1
ASM15162v1	DF091755.1	NW_004581530.1	DF091755.1	GPS_001612422.1
ASM15162v1	DF091756.1	NW_004581531.1	DF091756.1	GPS_001612423.1
ASM15162v1	DF091757.1	NW_004581532.1	DF091757.1	GPS_001612424.1
ASM15162v1	DF091758.1	NW_004581533.1	DF091758.1	GPS_001612425.1
ASM15162v1	DF091759.1	NW_004581534.1	DF091759.1	GPS_001612426.1
ASM15162v1	DF091760.1	NW_004581535.1	DF091760.1	GPS_001612427.1
ASM15162v1	DF091761.1	NW_004581536.1	DF091761.1	GPS_001612428.1
ASM15162v1	DF091762.1	NW_004581537.1	DF091762.1	GPS_001612429.1
ASM15162v1	DF091763.1	NW_004581538.1	DF091763.1	GPS_001612430.1
ASM15162v1	DF091764.1	NW_004581539.1	DF091764.1	GPS_001612431.1
ASM15162v1	DF091765.1	NW_004581540.1	DF091765.1	GPS_001612432.1
ASM15162v1	DF091766.1	NW_004581541.1	DF091766.1	GPS_001612433.1
ASM15162v1	DF091767.1	NW_004581542.1	DF091767.1	GPS_001612434.1
ASM15162v1	DF091768.1	NW_004581543.1	DF091768.1	GPS_001612435.1
ASM15162v1	DF091769.1	NW_004581544.1	DF091769.1	GPS_001612436.1
ASM15162v1	DF091770.1	NW_004581545.1	DF091770.1	GPS_001612437.1
ASM15162v1	DF091771.1	NW_004581546.1	DF091771.1	GPS_001612438.1
ASM15162v1	DF091772.1	NW_004581547.1	DF091772.1	GPS_001612439.1
ASM15162v1	DF091773.1	NW_004581548.1	DF091773.1	GPS_001612440.1
ASM15162v1	DF091774.1	NW_004581549.1	DF091774.1	GPS_001612441.1
ASM15162v1	DF091775.1	NW_004581550.1	DF091775.1	GPS_001612442.1
ASM15162v1	DF091776.1	NW_004581551.1	DF091776.1	GPS_001612443.1
ASM15162v1	DF091777.1	NW_004581552.1	DF091777.1	GPS_001612444.1
ASM15162v1	DF091778.1	NW_004581553.1	DF091778.1	GPS_001612445.1
ASM15162v1	DF091779.1	NW_004581554.1	DF091779.1	GPS_001612446.1
ASM15162v1	DF091780.1	NW_004581555.1	DF091780.1	GPS_001612447.1
ASM15162v1	DF091781.1	NW_004581556.1	DF091781.1	GPS_001612448.1
ASM15162v1	DF091782.1	NW_004581557.1	DF091782.1	GPS_001612449.1
ASM15162v1	DF091783.1	NW_004581558.1	DF091783.1	GPS_001612450.1
ASM15162v1	DF091784.1	NW_004581559.1	DF091784.1	GPS_001612451.1
ASM15162v1	DF091785.1	NW_004581560.1	DF091785.1	GPS_001612452.1
ASM15162v1	DF091786.1	NW_004581561.1	DF091786.1	GPS_001612453.1
ASM15162v1	DF091787.1	NW_004581562.1	DF091787.1	GPS_001612454.1
ASM15162v1	DF091788.1	NW_004581563.1	DF091788.1	GPS_001612455.1
ASM15162v1	DF091789.1	NW_004581564.1	DF091789.1	GPS_001612456.1
ASM15162v1	DF091790.1	NW_004581565.1	DF091790.1	GPS_001612457.1
ASM15162v1	DF091791.1	NW_004581566.1	DF091791.1	GPS_001612458.1
ASM15162v1	DF091792.1	NW_004581567.1	DF091792.1	GPS_001612459.1
ASM15162v1	DF091793.1	NW_004581568.1	DF091793.1	GPS_001612460.1
ASM15162v1	DF091794.1	NW_004581569.1	DF091794.1	GPS_001612461.1
ASM15162v1	DF091795.1	NW_004581570.1	DF091795.1	GPS_001612462.1
ASM15162v1	DF091796.1	NW_004581571.1	DF091796.1	GPS_001612463.1
ASM15162v1	DF091797.1	NW_004581572.1	DF091797.1	GPS_001612464.1
ASM15162v1	DF091798.1	NW_004581573.1	DF091798.1	GPS_001612465.1
ASM15162v1	DF091799.1	NW_004581574.1	DF091799.1	GPS_001612466.1
ASM15162v1	DF091800.1	NW_004581575.1	DF091800.1	GPS_001612467.1
ASM15162v1	DF091801.1	NW_004581576.1	DF091801.1	GPS_001612468.1
ASM15162v1	DF091802.1	NW_004581577.1	DF091802.1	GPS_001612469.1
ASM15162v1	DF091803.1	NW_004581578.1	DF091803.1	GPS_001612470.1
ASM15162v1	DF091804.1	NW_004581579.1	DF091804.1	GPS_001612471.1
ASM15162v1	DF091805.1	NW_004581580.1	DF091805.1	GPS_001612472.1
ASM15162v1	DF091806.1	NW_004581581.1	DF091806.1	GPS_001612473.1
ASM15162v1	DF091807.1	NW_004581582.1	DF091807.1	GPS_001612474.1
ASM15162v1	DF091808.1	NW_004581583.1	DF091808.1	GPS_001612475.1
ASM15162v1	DF091809.1	NW_004581584.1	DF091809.1	GPS_001612476.1
ASM15162v1	DF091810.1	NW_004581585.1	DF091810.1	GPS_001612477.1
ASM15162v1	DF091811.1	NW_004581586.1	DF091811.1	GPS_001612478.1
ASM15162v1	DF091812.1	NW_004581587.1	DF091812.1	GPS_001612479.1
ASM15162v1	DF091813.1	NW_004581588.1	DF091813.1	GPS_001612480.1
ASM15162v1	DF091814.1	NW_004581589.1	DF091814.1	GPS_001612481.1
ASM15162v1	DF091815.1	NW_004581590.1	DF091815.1	GPS_001612482.1
ASM15162v1	DF091816.1	NW_004581591.1	DF091816.1	GPS_001612483.1
ASM15162v1	DF091817.1	NW_004581592.1	DF091817.1	GPS_001612484.1
ASM15162v1	DF091818.1	NW_004581593.1	DF091818.1	GPS_001612485.1
ASM15162v1	DF091819.1	NW_004581594.1	DF091819.1	GPS_001612486.1
ASM15162v1	DF091820.1	NW_004581595.1	DF091820.1	GPS_001612487.1
ASM15162v1	DF091821.1	NW_004581596.1	DF091821.1	GPS_001612488.1
ASM15162v1	DF091822.1	NW_004581597.1	DF091822.1	GPS_001612489.1
ASM15162v1	DF091823.1	NW_004581598.1	DF091823.1	GPS_001612490.1
ASM15162v1	DF091824.1	NW_004581599.1	DF091824.1	GPS_001612491.1
ASM15162v1	DF091825.1	NW_004581600.1	DF091825.1	GPS_001612492.1
ASM15162v1	DF091826.1	NW_004581601.1	DF091826.1	GPS_001612493.1
ASM15162v1	DF091827.1	NW_004581602.1	DF091827.1	GPS_001612494.1
ASM15162v1	DF091828.1	NW_004581603.1	DF091828.1	GPS_001612495.1
ASM15162v1	DF091829.1	NW_004581604.1	DF091829.1	GPS_001612496.1
ASM15162v1	DF091830.1	NW_004581605.1	DF091830.1	GPS_001612497.1
ASM15162v1	DF091831.1	NW_004581606.1	DF091831.1	GPS_001612498.1
